 Fm-3m             225
 Lattice constants :
    a          b          c         alpha      beta       gamma      volume
    4.07890    4.07890    4.07890   90.00000   90.00000   90.00000    67.8624    

 Metric Tensor     :
      16.63743      0.00000      0.00000
       0.00000     16.63743      0.00000
       0.00000      0.00000     16.63743

 Reciprocal Lattice constants :
    a*         b*         c*        alpha*     beta*      gamma*     volume
    0.24516    0.24516    0.24516   90.00000   90.00000   90.00000   0.147357E-01

 Reciprocal metric tensor     : 
       0.06011     -0.00000     -0.00000
      -0.00000      0.06011     -0.00000
      -0.00000     -0.00000      0.06011

 Found neighbours (quick more = F periodic boundaries (x,y,z) = F F F ) 
   Position of search center   :     8.000      4.000     -7.000
   Search radius [A]           :    15.000
   Unit cell and site          :   10   10   10 /   1
   Atom index                  :     25327 (AU(1)    )

    #   atom    name     dist [A]            pos                cell     site
   --------------------------------------------------------------------------
    64  29088   AU(1)        6.45    8.50    4.00   -5.50    3  24  11    2
    65  25459   AU(1)        6.45    8.00    5.50   -6.50    2  12  10    1
    66  29087   AU(1)        6.45    8.00    4.50   -5.50    3  24  11    1
    67  29084   AU(1)        6.45    7.50    4.00   -5.50    1  24  11    2
    68  21853   AU(1)        6.45    8.00    5.50   -7.50   12  37   8    1
    69  25062   AU(1)        6.45    8.50    2.50   -7.00   25   6  10    2
    70  21730   AU(1)        6.45    9.50    4.00   -7.50   24  35   8    2
    71  25333   AU(1)        6.45    9.50    4.00   -6.50   13  10  10    1
    72  18181   AU(1)        6.45    8.00    3.50   -8.50   26  24   7    1
    73  21462   AU(1)        6.45    8.00    2.50   -7.50    1  32   8    2
    74  25058   AU(1)        6.45    7.50    2.50   -7.00   23   6  10    2
    75  25060   AU(1)        6.45    8.00    2.50   -6.50   24   6  10    2
    76  25457   AU(1)        6.45    7.50    5.50   -7.00    1  12  10    1
    77  25461   AU(1)        6.45    8.50    5.50   -7.00    3  12  10    1
    78  21718   AU(1)        6.45    6.50    4.00   -7.50   18  35   8    2
    79  28954   AU(1)        7.06    9.00    3.00   -6.00   10  22  11    2
    80  21856   AU(1)        7.06    9.00    5.00   -8.00   13  37   8    2
    81  21848   AU(1)        7.06    7.00    5.00   -8.00    9  37   8    2
    82  29215   AU(1)        7.06    7.00    5.00   -6.00   30  25  11    1
    83  21597   AU(1)        7.06    9.00    3.00   -8.00   32  33   8    1
    84  28946   AU(1)        7.06    7.00    3.00   -6.00    6  22  11    2
    85  29223   AU(1)        7.06    9.00    5.00   -6.00   34  25  11    1
    86  21589   AU(1)        7.06    7.00    3.00   -8.00   28  33   8    1
    87  29217   AU(1)        7.63    7.50    5.00   -5.50   31  25  11    1
    88  18302   AU(1)        7.63    7.00    4.50   -8.50   12  26   7    2
    89  28955   AU(1)        7.63    9.00    3.50   -5.50   11  22  11    1
    90  28945   AU(1)        7.63    6.50    3.50   -6.00    6  22  11    1
    91  21855   AU(1)        7.63    8.50    5.50   -8.00   13  37   8    1
    92  18182   AU(1)        7.63    8.50    3.00   -8.50   26  24   7    2
    93  28811   AU(1)        7.63    7.50    2.50   -6.00   13  20  11    1
    94  21731   AU(1)        7.63    9.50    4.50   -8.00   25  35   8    1
    95  18185   AU(1)        7.63    9.00    3.50   -8.50   28  24   7    1
    96  25452   AU(1)        7.63    6.50    5.00   -6.50   35  11  10    2
    97  25455   AU(1)        7.63    7.00    5.50   -6.50   37  11  10    1
    98  18178   AU(1)        7.63    7.50    3.00   -8.50   24  24   7    2
    99  18177   AU(1)        7.63    7.00    3.50   -8.50   24  24   7    1
   100  25464   AU(1)        7.63    9.50    5.00   -6.50    4  12  10    2
   101  18310   AU(1)        7.63    9.00    4.50   -8.50   16  26   7    2
   102  21858   AU(1)        7.63    9.50    5.00   -7.50   14  37   8    2
   103  21857   AU(1)        7.63    9.00    5.50   -7.50   14  37   8    1
   104  21600   AU(1)        7.63    9.50    3.50   -8.00   33  33   8    2
   105  21719   AU(1)        7.63    6.50    4.50   -8.00   19  35   8    1
   106  21588   AU(1)        7.63    6.50    3.50   -8.00   27  33   8    2
   107  21466   AU(1)        7.63    9.00    2.50   -7.50    3  32   8    2
   108  21851   AU(1)        7.63    7.50    5.50   -8.00   11  37   8    1
   109  21846   AU(1)        7.63    6.50    5.00   -7.50    8  37   8    2
   110  21599   AU(1)        7.63    9.50    3.00   -7.50   33  33   8    1
   111  18427   AU(1)        7.63    7.50    5.00   -8.50    1  28   7    1
   112  21587   AU(1)        7.63    6.50    3.00   -7.50   27  33   8    1
   113  25064   AU(1)        7.63    9.00    2.50   -6.50   26   6  10    2
   114  25056   AU(1)        7.63    7.00    2.50   -6.50   22   6  10    2
   115  25200   AU(1)        7.63    9.50    3.00   -6.50   20   8  10    2
   116  25188   AU(1)        7.63    6.50    3.00   -6.50   14   8  10    2
   117  18431   AU(1)        7.63    8.50    5.00   -8.50    3  28   7    1
   118  21464   AU(1)        7.63    8.50    2.50   -8.00    2  32   8    2
   119  21458   AU(1)        7.63    7.00    2.50   -7.50   36  31   8    2
   120  21460   AU(1)        7.63    7.50    2.50   -8.00   37  31   8    2
   121  25463   AU(1)        7.63    9.00    5.50   -6.50    4  12  10    1
   122  21849   AU(1)        7.63    7.00    5.50   -7.50   10  37   8    1
   123  29091   AU(1)        7.63    9.00    4.50   -5.50    5  24  11    1
   124  29221   AU(1)        7.63    8.50    5.00   -5.50   33  25  11    1
   125  28957   AU(1)        7.63    9.50    3.50   -6.00   12  22  11    1
   126  29222   AU(1)        7.63    8.50    5.50   -6.00   33  25  11    2
